Document_No,Dominant_Topic,Dominant_Percent,All_Percent,description
649,1.0,0.9107000231742859,"[(0, 0.01785905), (1, 0.91069275), (2, 0.017865162), (3, 0.017860642), (4, 0.017861666), (5, 0.017860707)]","이번에 <b>아이폰12</b> 프로 기본형과 PRO에서 상당히 고민을 하시는 분들이 많더라고요. 그래서 오늘은 어떤... 외형에서 가장 큰 차이는 바로 무게인데, 기본형이 164g, <b>아이폰12</b> 프로는 189g 입니다. 25g 정도의... "
599,1.0,0.9107000231742859,"[(0, 0.017860917), (1, 0.91069406), (2, 0.017859247), (3, 0.017859694), (4, 0.017865973), (5, 0.017860075)]",<b>아이폰12</b>프로 구매한지 3개월 정도 됬는데 몇 번 떨어뜨렸더니 구매할 때 붙여주었던 핸드폰... 기포없이 깔끔하게 완성된 나의 아이폰 강화유리 정도의 두께인데 터치감도 좋고 지문도 묻어나지 않아서... 
803,1.0,0.9107000231742859,"[(0, 0.017858759), (1, 0.9107013), (2, 0.017860891), (3, 0.01786063), (4, 0.017858237), (5, 0.01786022)]",스마트폰을 <b>아이폰12</b>프로 교체를 하면서 동생이 가지고 있던 액정보호필름을 부착했다 <b>아이폰12</b>프로 사이즈라고 들었지만 내심 걱정되는 부분이 몇 있었는데 바로 이렇게 카메라 부분이나 가장자리 부분이... 
796,1.0,0.9107000231742859,"[(0, 0.017862597), (1, 0.91069), (2, 0.017861146), (3, 0.017862394), (4, 0.017861513), (5, 0.017862359)]",영롱한 아이폰의 자태와 강력한 Triple Camera가 마음에 드네요 특히나 이번 <b>아이폰 12</b> 시리즈는... iPhone 12 Pro Max 일단 12 프로와 프로맥스는 고성능이면서도 Energy Saving 기술에 상당히 특화되어 배터리... 
605,1.0,0.9107000231742859,"[(0, 0.017861776), (1, 0.91069555), (2, 0.01785917), (3, 0.017860219), (4, 0.01786196), (5, 0.017861297)]","<b>아이폰12</b>프로로 쓰는 나의 사진일기. 아이폰8플러스 3년 꽉-채우고 드뎌 바꾼 <b>아이폰12</b> 프로 화이트! 무슨색 살지 매우 엄청 고민하다가 골드와 화이트 중 (이제는 마냥 어린나이가 아니기에,,) 깔끔얌전한... "
587,1.0,0.9107000231742859,"[(0, 0.017860614), (1, 0.91069216), (2, 0.017860577), (3, 0.017864013), (4, 0.017861538), (5, 0.017861094)]",아이폰을 쓰면서 가장 좋은 것 중에 하나가 바로 케이스 종류가 너무나도 많아서 어떤 것을 써야 할지... 이제 <b>아이폰 12</b> 프로맥스를 끼워볼까요? 짜잔~ 퍼시픽 블루 색상인 제 <b>아이폰 12</b>프로맥스와 그랩비... 
11,1.0,0.9107000231742859,"[(0, 0.017859219), (1, 0.9106934), (2, 0.017858518), (3, 0.017863842), (4, 0.017861426), (5, 0.017863577)]","그리고 월 12G정도의 데이터가 제공되며, 문자와 음성통화는 무제한으로 이용하실 수 있습니다. <b>아이폰12</b> 퍼플을 통신사에서 구매했을 때(자급제 이용하지 않았을 때)는 2년간 약 204만원정도 나온다고... "
193,1.0,0.9107000231742859,"[(0, 0.017864732), (1, 0.91068494), (2, 0.017858595), (3, 0.017861482), (4, 0.017862823), (5, 0.017867407)]",1+1 케이스로 구매를 했고 전에 아이폰8 플러스 때는 하나에 6-12개월 정도 썼어요 가격도 정말 착하고 짱짱!! 주파집 <b>아이폰 12</b> 플러스 케이스 장점 1. 우선 정말 쌩폰 같습니다 가볍고 얇아서 좋습니다 2.... 
194,1.0,0.9107000231742859,"[(0, 0.017860843), (1, 0.910693), (2, 0.017859528), (3, 0.017863598), (4, 0.01786027), (5, 0.01786273)]","투명한 케이스가 잘 어울리는 <b>아이폰12</b> 미니 화이트 아이폰 하면 역시 흰색! 흰색 하면 케이스는 역시 투명케이스, 이렇게 아이폰이 잘 보이는 케이스가 참 예쁘고 좋다. TGD 트라움가드 케이스 맥세이프... "
144,1.0,0.9107000231742859,"[(0, 0.017862735), (1, 0.91068035), (2, 0.01786899), (3, 0.017861297), (4, 0.01786465), (5, 0.017861981)]","랏뚜입니다 'ㅅ')/ 오랜만에 블로그에서 소개드리는 제 NEW 핸드폰 ㅎㅎ <b>아이폰 12</b> Pro Max 소개드리면서 새로 바꾼 핸드폰 케이스와 그립톡도 함께 소개드리려고 합니다 ! 일단, 이번 <b>아이폰 12</b> Pro Max 케이스와... "
